rat,session,trial,group,duration,iti,reinforced,criterion,valid
87,1.0,60,timeout20,16.65199999999993,0.04399999999998272,1.0,10.0,1.0
87,1.0,61,timeout20,0.39800000000002456,20.701999999999998,0.0,10.0,1.0
87,1.0,62,timeout20,14.63000000000011,1.7439999999999145,1.0,10.0,1.0
87,1.0,63,timeout20,17.798000000000002,2.3320000000001073,1.0,10.0,1.0
87,1.0,64,timeout20,15.493999999999915,1.2860000000000582,1.0,10.0,1.0
87,1.0,65,timeout20,15.153999999999996,1.0639999999998508,1.0,10.0,1.0
87,1.0,66,timeout20,18.52800000000002,1.4039999999999964,1.0,10.0,1.0
87,1.0,67,timeout20,22.812000000000126,1.2419999999999618,1.0,10.0,1.0
87,1.0,68,timeout20,11.95399999999995,1.3579999999999472,1.0,10.0,1.0
87,1.0,69,timeout20,14.172000000000025,2.1240000000000236,1.0,10.0,1.0
87,1.0,70,timeout20,17.067999999999984,1.4519999999999982,1.0,10.0,1.0
87,1.0,71,timeout20,15.347999999999956,1.8759999999999764,1.0,10.0,1.0
87,1.0,72,timeout20,9.938000000000102,20.774000000000115,0.0,10.0,1.0
87,1.0,73,timeout20,11.835999999999785,1.7280000000000655,1.0,10.0,1.0
87,1.0,74,timeout20,14.110000000000127,1.4839999999999236,1.0,10.0,1.0
87,1.0,75,timeout20,12.8900000000001,1.8679999999999382,1.0,10.0,1.0
87,1.0,76,timeout20,11.039999999999964,2.5319999999999254,1.0,10.0,1.0
87,1.0,77,timeout20,11.708000000000084,1.83199999999988,1.0,10.0,1.0
87,1.0,78,timeout20,13.774000000000115,1.6539999999999964,1.0,10.0,1.0
87,1.0,79,timeout20,12.071999999999889,1.4420000000000073,1.0,10.0,1.0
87,1.0,80,timeout20,11.674000000000206,1.4559999999999036,1.0,10.0,1.0
87,1.0,81,timeout20,12.27800000000002,2.2819999999999254,1.0,10.0,1.0
87,1.0,82,timeout20,8.761999999999944,22.104000000000042,0.0,10.0,1.0
87,1.0,83,timeout20,7.448000000000093,20.319999999999936,0.0,10.0,1.0
87,1.0,84,timeout20,13.685999999999922,1.5920000000000982,1.0,10.0,1.0
87,1.0,85,timeout20,15.45399999999995,0.03600000000005821,1.0,10.0,1.0
87,1.0,86,timeout20,0.08200000000010732,1.1879999999998745,0.0,10.0,1.0
87,1.0,87,timeout20,13.107999999999947,1.3379999999999654,1.0,10.0,1.0
87,1.0,88,timeout20,14.605999999999995,1.8580000000001746,1.0,10.0,1.0
87,1.0,89,timeout20,18.819999999999936,1.5640000000000782,1.0,10.0,1.0
87,1.0,90,timeout20,14.577999999999975,1.5619999999998981,1.0,10.0,1.0
87,1.0,91,timeout20,18.932000000000016,1.27800000000002,1.0,10.0,1.0
87,1.0,92,timeout20,17.615999999999985,1.7360000000001037,1.0,10.0,1.0
87,1.0,93,timeout20,21.20999999999981,1.6520000000000437,1.0,10.0,1.0
87,1.0,94,timeout20,12.624000000000024,1.7480000000000473,1.0,10.0,1.0
87,1.0,95,timeout20,15.64799999999991,1.3940000000000055,1.0,10.0,1.0
87,1.0,96,timeout20,16.236000000000104,1.5779999999999745,1.0,10.0,1.0
87,1.0,97,timeout20,17.25,1.3520000000000891,1.0,10.0,1.0
87,1.0,98,timeout20,16.597999999999956,1.6040000000000418,1.0,10.0,1.0
87,1.0,99,timeout20,13.3599999999999,1.5620000000001255,1.0,10.0,1.0
87,1.0,100,timeout20,20.559999999999945,1.3659999999999854,1.0,10.0,1.0
87,1.0,101,timeout20,15.720000000000027,1.759999999999991,1.0,10.0,1.0
87,1.0,102,timeout20,21.645999999999958,1.3859999999999673,1.0,10.0,1.0
87,1.0,103,timeout20,17.299999999999955,1.7019999999999982,1.0,10.0,1.0
87,1.0,104,timeout20,19.88000000000011,1.6959999999999127,1.0,10.0,1.0
87,1.0,105,timeout20,25.180000000000064,1.7739999999998872,1.0,10.0,1.0
87,1.0,106,timeout20,18.080000000000155,1.711999999999989,1.0,10.0,1.0
87,1.0,107,timeout20,19.412000000000035,1.5059999999998581,1.0,10.0,1.0
87,1.0,108,timeout20,6.888000000000147,0.11799999999993815,0.0,10.0,1.0
87,1.0,109,timeout20,0.05999999999994543,21.180000000000064,0.0,10.0,0.0
87,1.0,110,timeout20,15.54600000000005,,1.0,10.0,1.0
87,2.0,0,timeout20,4.380000000000003,0.03200000000000358,0.0,10.0,1.0
87,2.0,1,timeout20,0.4679999999999964,20.78,0.0,10.0,0.0
87,2.0,2,timeout20,1.5720000000000027,20.227999999999994,0.0,10.0,1.0
87,2.0,3,timeout20,0.0660000000000025,0.006000000000000227,0.0,10.0,1.0
87,2.0,4,timeout20,0.08799999999999386,0.0660000000000025,0.0,10.0,1.0
87,2.0,5,timeout20,0.0799999999999983,24.28200000000001,0.0,10.0,0.0
87,2.0,6,timeout20,0.24799999999999045,0.13000000000000966,0.0,10.0,1.0
87,2.0,7,timeout20,0.09399999999999409,20.22,0.0,10.0,0.0
87,2.0,8,timeout20,1.3859999999999957,21.572000000000017,0.0,10.0,1.0
87,2.0,9,timeout20,2.4979999999999905,21.614000000000004,0.0,10.0,1.0
87,2.0,10,timeout20,6.018000000000001,24.126000000000005,0.0,10.0,1.0
87,2.0,11,timeout20,0.3100000000000023,0.04999999999998295,0.0,10.0,1.0
87,2.0,12,timeout20,0.39400000000000546,20.19399999999999,0.0,10.0,0.0
87,2.0,13,timeout20,7.926000000000016,24.79600000000002,0.0,10.0,1.0
87,2.0,14,timeout20,6.131999999999948,0.006000000000028649,0.0,10.0,1.0
87,2.0,15,timeout20,0.23399999999998045,21.196000000000026,0.0,10.0,1.0
87,2.0,16,timeout20,1.288000000000011,0.06999999999999318,0.0,10.0,1.0
